id_mhs,nim,nama_mhs,jenis_kelamin,tgl_lahir,kode_provinsi_asal,nama_sma_asal,akreditasi_sma_asal,id_prodi,tahun_masuk,status_mhs
1,A22010001,"Putri Usamah, S.Gz",P,2002-03-20,64,SMA Negeri 24 Kalimantan Timur,C,1,2022,Aktif
2,A23020002,Hana Suryatmi,L,2001-09-18,91,SMA Negeri 27 Papua Barat,B,2,2023,Aktif
3,A21080003,Nyana Sudiati,P,2006-11-21,17,SMA Negeri 30 Bengkulu,B,8,2021,Lulus
4,A21120004,Maida Narpati,P,2000-03-08,21,SMA Negeri 42 Kepulauan Riau,A,12,2021,Lulus
5,A21050005,Hana Iswahyudi,P,2006-11-19,81,SMA Negeri 21 Maluku,C,5,2021,Lulus
6,A20040006,"Dalima Usamah, S.Farm",L,2001-06-19,16,SMA Negeri 37 Sumatera Selatan,TT,4,2020,Lulus
7,A20100007,Nilam Setiawan,L,2001-06-18,71,SMA Negeri 12 Sulawesi Utara,A,10,2020,Lulus
8,A20080008,"dr. Azalea Sihombing, S.Pd",L,2006-02-24,34,SMA Negeri 39 DI Yogyakarta,B,8,2020,Aktif
9,A22120009,Lala Prakasa,P,2002-12-13,52,SMA Negeri 13 Nusa Tenggara Barat,A,12,2022,Aktif
10,A23020010,"Mala Yuliarti, S.E.I",L,2007-09-17,36,SMA Negeri 36 Banten,C,2,2023,Aktif
11,A23040011,"Dt. Banara Jailani, M.Ak",L,2006-04-14,81,SMA Negeri 2 Maluku,TT,4,2023,Aktif
12,A19020012,Agnes Kusmawati,P,2005-06-03,53,SMA Negeri 43 Nusa Tenggara Timur,C,2,2019,Aktif
13,A21100013,Rusman Maryati,L,2007-05-08,65,SMA Negeri 36 Kalimantan Utara,B,10,2021,Cuti
14,A23060014,Drs. Zaenab Thamrin,L,2007-01-07,64,SMA Negeri 20 Kalimantan Timur,TT,6,2023,Aktif
15,A18050015,Sabrina Wijaya,L,1998-10-16,35,SMA Negeri 35 Jawa Timur,B,5,2018,Aktif
16,A19120016,Indah Najmudin,P,2005-04-28,32,SMA Negeri 47 Jawa Barat,B,12,2019,Aktif
17,A22100017,Karimah Permata,L,2004-05-19,94,SMA Negeri 13 Papua,B,10,2022,Aktif
18,A20050018,Prabu Pratiwi,L,2003-01-22,35,SMA Negeri 35 Jawa Timur,A,5,2020,Aktif
19,A18030019,R. Dimas Farida,P,1999-06-23,52,SMA Negeri 9 Nusa Tenggara Barat,A,3,2018,Aktif
20,A18110020,Garan Jailani,P,2000-01-17,82,SMA Negeri 31 Maluku Utara,A,11,2018,Aktif
